epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4201,1.71995,3.73927,1.61115,0.00357,0.25421,0.00807,0.00469,1.45502,7.66114,0.92081,2.858e-05,2.858e-05,2.858e-05
2,77.2164,1.65228,3.66379,1.5591,0.00398,0.41612,0.01886,0.0049,1.49406,7.54948,0.88974,7.00353e-05,7.00353e-05,7.00353e-05
3,88.5031,1.66168,3.58092,1.51799,0.00639,0.55733,0.01982,0.00718,1.44036,7.41692,0.83061,0.000109793,0.000109793,0.000109793
4,105.78,1.61162,3.57903,1.44311,0.01078,0.71886,0.03089,0.01323,1.45493,7.32287,0.82013,0.000147853,0.000147853,0.000147853
5,123.776,1.57062,3.44016,1.41938,0.01299,0.95,0.08699,0.03221,1.40822,7.25464,0.79257,0.000184215,0.000184215,0.000184215
6,139.611,1.57113,3.44998,1.34613,0.01296,0.95,0.10585,0.06237,1.36298,7.16161,0.78132,0.00021888,0.00021888,0.00021888
7,155.19,1.41754,3.18825,1.25596,0.01127,0.60458,0.07679,0.03062,1.37549,7.10282,0.7736,0.000251847,0.000251847,0.000251847
8,172.285,1.51853,3.11176,1.28758,0.01079,0.38242,0.06211,0.03,1.36648,7.05038,0.75968,0.000283116,0.000283116,0.000283116
9,198.67,1.49747,3.01493,1.27843,0.01059,0.38242,0.10108,0.06166,1.36241,6.89077,0.73242,0.000312688,0.000312688,0.000312688
10,222.528,1.51493,2.88207,1.25577,0.01049,0.38242,0.09902,0.06099,1.3617,6.80385,0.73086,0.000340562,0.000340562,0.000340562
11,241.954,1.43737,2.77999,1.24353,0.01024,0.29249,0.06516,0.03902,1.36696,6.63555,0.73582,0.000366739,0.000366739,0.000366739
12,259.145,1.41865,2.58641,1.20866,0.00988,0.20256,0.06278,0.04283,1.35244,6.54341,0.73071,0.000391217,0.000391217,0.000391217
13,281.592,1.51461,2.4584,1.28107,0.00827,0.13462,0.11382,0.04331,1.3907,6.34707,0.75183,0.000413998,0.000413998,0.000413998
14,303.521,1.47472,2.32107,1.23975,0.00934,0.20256,0.1533,0.06829,1.46324,6.22874,0.77663,0.000435082,0.000435082,0.000435082
15,324.183,1.52623,2.0828,1.28955,0.00903,0.20256,0.15046,0.06732,1.4707,6.03886,0.78241,0.000454468,0.000454468,0.000454468
16,347.393,1.44948,1.91122,1.19529,0.00979,0.38242,0.22114,0.13158,1.46705,6.01217,0.77901,0.000472156,0.000472156,0.000472156
17,371.512,1.57309,1.89005,1.26947,0.00807,0.1859,0.13069,0.06096,1.51545,5.92408,0.81105,0.000488146,0.000488146,0.000488146
18,393.233,1.49172,1.6192,1.21902,0.00661,0.11795,0.07182,0.02733,1.51958,5.8734,0.82712,0.000502439,0.000502439,0.000502439
19,415.586,1.44192,1.60498,1.20506,0.00652,0.11795,0.07295,0.02209,1.53901,5.78833,0.84944,0.000515034,0.000515034,0.000515034
20,437.387,1.42984,1.55169,1.22973,0.00662,0.11795,0.06032,0.01507,1.58207,5.79921,0.89494,0.000525932,0.000525932,0.000525932
21,459.54,1.49528,1.60888,1.30572,0.00671,0.11795,0.05935,0.02355,1.62563,5.83499,0.94773,0.000535132,0.000535132,0.000535132
22,482.068,1.46548,1.46234,1.248,0.00673,0.11795,0.07044,0.02535,1.6197,5.69732,0.96158,0.000542634,0.000542634,0.000542634
23,501.243,1.31814,1.46021,1.24462,0.00704,0.11795,0.07277,0.02253,1.61678,5.49037,0.94741,0.000548439,0.000548439,0.000548439
24,522.485,1.36926,1.41667,1.20122,0.00556,0.05897,0.04021,0.01903,1.61439,5.18012,0.92085,0.000552546,0.000552546,0.000552546
25,542.011,1.392,1.41232,1.21626,0.84923,0.05,0.06971,0.02008,1.56169,4.82801,0.88857,0.000554955,0.000554955,0.000554955
26,564.05,1.34151,1.28928,1.21653,0.83034,0.05,0.07213,0.02327,1.5327,4.68978,0.87177,0.000555667,0.000555667,0.000555667
27,594.879,1.29944,1.24325,1.19055,0.94989,0.03333,0.03456,0.00962,1.52685,4.77708,0.87674,0.000554681,0.000554681,0.000554681
28,622.339,1.30778,1.25542,1.18639,0.79133,0.05,0.06404,0.02093,1.53153,4.56493,0.87877,0.000551997,0.000551997,0.000551997
29,648.29,1.24315,1.25632,1.19629,0.44203,0.15945,0.14904,0.05843,1.53153,4.56493,0.87877,0.000547616,0.000547616,0.000547616
