epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0202,0.57346,2.40984,2.49584,1.02279,0.00423,1,0.6998,0.55122,0.00423,1,0.65637,0.47124,0.30248,0.79544,2.50767,0.79575,4e-05,4e-05,4e-05
2,29.0391,0.60152,1.87309,2.46415,1.01874,0.00418,1,0.72253,0.49658,0.00418,1,0.72873,0.51742,0.38525,0.70611,2.52333,0.83659,9.01e-05,9.01e-05,9.01e-05
3,43.7614,0.47163,1.52236,2.33294,1.01619,0.00427,1,0.92141,0.69938,0.00427,1,0.92141,0.70473,0.35318,0.65588,2.53579,0.81458,0.00012832,0.00012832,0.00012832
4,54.7214,0.40528,1.11753,2.25814,0.92417,0.00439,1,0.92687,0.78229,0.00439,1,0.92687,0.80031,0.33205,0.62659,2.49365,0.80284,0.00015466,0.00015466,0.00015466
5,68.6718,0.53248,1.03352,2.14316,0.97769,0.00439,1,0.97331,0.88923,0.00439,1,0.97331,0.88879,0.30814,0.55606,2.42659,0.77866,0.00016912,0.00016912,0.00016912
6,81.7449,0.42027,0.93728,1.95562,0.90898,0.00433,1,0.9775,0.90377,0.00433,1,0.9775,0.90903,0.3122,0.52113,2.41865,0.7796,0.0001717,0.0001717,0.0001717
7,95.0694,0.44742,1.07724,1.8945,0.9273,0.00424,1,0.98567,0.87878,0.00424,1,0.98567,0.89447,0.35063,0.52959,2.40729,0.79276,0.0001624,0.0001624,0.0001624
8,108.107,0.4495,0.9886,1.84687,0.91626,0.00424,1,0.98567,0.87044,0.00424,1,0.98567,0.88252,0.35962,0.52633,2.40274,0.7967,0.00014122,0.00014122,0.00014122
9,125.606,0.44593,0.92428,1.80258,0.93217,0.00417,1,0.98567,0.87203,0.00417,1,0.98567,0.9311,0.34459,0.49151,2.3886,0.77999,0.00010816,0.00010816,0.00010816
10,141.126,0.38128,0.81778,1.71329,0.9028,0.00415,1,0.98567,0.86302,0.00415,1,0.98567,0.93459,0.32598,0.5088,2.3858,0.77144,6.322e-05,6.322e-05,6.322e-05
