epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.81052,1.71995,3.73927,1.61115,0.00356,0.35183,0.00666,0.00364,1.45502,3.83057,1.38121,2.858e-05,2.858e-05,2.858e-05
2,13.0654,1.65228,3.66379,1.5591,0.00398,0.41612,0.01886,0.0049,1.49404,3.77476,1.33462,7.00353e-05,7.00353e-05,7.00353e-05
3,18.8575,1.66168,3.58093,1.51801,0.00639,0.55733,0.01982,0.00718,1.44021,3.70844,1.24585,0.000109793,0.000109793,0.000109793
4,24.9053,1.61161,3.57904,1.44311,0.01112,0.82546,0.02887,0.01294,1.4549,3.66161,1.23043,0.000147853,0.000147853,0.000147853
5,30.8123,1.57068,3.43929,1.4191,0.01306,0.95,0.08883,0.03268,1.40917,3.62632,1.18909,0.000184215,0.000184215,0.000184215
6,36.3342,1.56827,3.45093,1.34547,0.01273,0.93333,0.09635,0.0563,1.37238,3.58147,1.17122,0.00021888,0.00021888,0.00021888
7,42.0225,1.41598,3.18954,1.25512,0.01274,0.93333,0.18541,0.09981,1.35144,3.56107,1.14571,0.000251847,0.000251847,0.000251847
8,47.9421,1.53114,3.11599,1.29305,0.01264,0.93333,0.24008,0.14105,1.36493,3.53099,1.14165,0.000283116,0.000283116,0.000283116
9,53.7927,1.49379,3.01021,1.26864,0.01232,0.93333,0.31784,0.20315,1.36249,3.47381,1.11357,0.000312688,0.000312688,0.000312688
10,59.6247,1.5151,2.8796,1.24622,0.01249,0.95,0.30158,0.19131,1.34794,3.41993,1.09985,0.000340562,0.000340562,0.000340562
11,65.8165,1.44438,2.74875,1.24565,0.01227,0.95,0.31394,0.1995,1.34685,3.29868,1.10458,0.000366739,0.000366739,0.000366739
12,71.7455,1.42489,2.5803,1.2142,0.01218,0.95,0.4483,0.28098,1.354,3.25044,1.10046,0.000391217,0.000391217,0.000391217
13,77.6397,1.49288,2.437,1.26344,0.01247,0.98333,0.56108,0.32267,1.40211,3.14496,1.10887,0.000413998,0.000413998,0.000413998
14,83.5746,1.44774,2.31929,1.22485,0.74612,0.22709,0.59708,0.35324,1.39518,3.08055,1.10445,0.000435082,0.000435082,0.000435082
15,89.9158,1.48916,2.07109,1.27225,0.70839,0.22717,0.5879,0.38287,1.42961,2.9491,1.11324,0.000454468,0.000454468,0.000454468
16,96.0611,1.43444,1.9331,1.20107,0.84948,0.12008,0.55931,0.36798,1.43561,2.90597,1.14418,0.000472156,0.000472156,0.000472156
17,102.048,1.54819,1.89166,1.25719,0.91579,0.22289,0.68329,0.39084,1.51454,2.82946,1.24898,0.000488146,0.000488146,0.000488146
